Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;Rynek pierwotny;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primary market;;;;;;;;;;;;;;;;;;;;;;;Primary market;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ceny ofertowe;;;;;;;;;;;;;;;;;średnia;;;;;Ceny transakcyjne;;;;;;;;;;;;;;;;;;średnia ;;;;;;;;;
;Offer prices;;;;;;;;;;;;;;;;;mean;;;;;Transaction prices;;;;;;;;;;;;;;;;;;mean;;;;;;;;;
;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;
Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia*;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;;;;;
III 2006;2 727;3 243;5 004;4 937;3 986;2 919;6 021;3 456;3 210;4 000;3 343;4 770;2 862;3 215;5 873;4 750;2 754;5 427;3 007;4 978;2 955;;III 2006;3 008;2 663;3 494;4 467;3 523;2 835;6 816;3 022;2 860;2 640;3 299;3 621;2 656;3 234;5 605;3 211;2 499;3 591;2 663;4 231;2 814;;;;;;
IV 2006;2 727;3 947;6 199;5 284;4 062;3 493;7 929;3 314;4 237;4 800;;4 827;3 401;3 679;6 095;5 759;2 869;6 143;3 281;6 174;3 029;;IV 2006;3 117;2 811;5 252;5 284;3 735;3 014;7 089;3 304;3 642;2 869;3 343;4 726;3 013;3 575;6 186;3 777;2 769;5 369;3 220;4 923;3 142;;;;;;
I 2007;4 181;4 501;6 437;6 466;4 518;3 382;8 247;3 604;4 927;5 149;;7 275;3 420;4 749;7 509;6 309;2 872;6 941;3 886;6 643;3 710;;I 2007;3 500;3 017;5 490;5 797;3 806;3 241;7 192;3 309;4 209;2 960;;6 445;3 469;3 831;7 302;7 063;2 500;6 499;3 276;6 121;3 173;;;;;;
II 2007;4 725;5 700;7 999;8 934;5 181;3 902;8 129;4 143;5 453;4 776;;7 360;4 080;5 050;8 000;6 294;4 153;8 097;4 612;7 352;4 349;;II 2007;4 422;4 092;7 137;6 992;5 094;3 018;7 856;3 503;5 403;3 318;3 307;7 243;3 517;4 933;7 523;5 289;3 258;6 785;3 923;6 610;3 469;;;;;;
III 2007;4 199;4 994;8 053;8 114;6 236;4 651;8 420;4 645;5 201;4 900;4 784;6 838;4 069;5 035;8 740;6 444;4 208;8 212;4 894;7 921;4 433;;III 2007;4 651;4 466;7 440;7 238;5 698;4 766;8 060;4 125;5 212;3 588;4 253;5 426;4 124;5 121;7 879;5 836;4 015;7 065;4 647;6 605;4 225;;;;;;
IV 2007;4 995;4 829;7 402;7 887;6 458;4 475;8 355;5 047;5 062;4 900;4 937;7 564;4 357;5 731;9 561;5 495;3 965;8 181;5 165;7 411;4 634;;IV 2007;5 079;4 582;6 294;7 495;5 718;4 629;7 985;4 597;5 076;3 806;4 442;6 865;4 365;4 697;8 571;5 625;3 823;8 064;4 819;6 754;4 489;;;;;;
