Rynek wtórny;;;;;;;;;;;;;;;;;;;;;;;Rynek wtórny;;;;;;;;;;;;;;;;;;;;;;;Rynek wtórny;;;;;;;;;;;;;;;;;;;;;;Rynek wtórny;;;;;;;;;;;;;;;;;;;;;;;;;
Existing stock market;;;;;;;;;;;;;;;;;;;;;;;Existing stock market;;;;;;;;;;;;;;;;;;;;;;;Existing stock market;;;;;;;;;;;;;;;;;;;;;;Existing stock market;;;;;;;;;;;;;;;;;;;;;;;;;
PLN/1 sq.m.;;;;;;;;;;;;;;;;;;;;;;;PLN/1 sq.m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ceny ofertowe;;;;;;;;;;;;;;;;;średnia;;;;;;Ceny transakcyjne;;;;;;;;;;;;;;;;;średnia;;;;;;Indeks hedoniczny ceny m kw. mieszkań (dynamika kwartał do kwartału poprzedniego);;;;;;;;;;;;;;;;średnia;;;;Zharmonizowany indeks (III kw. 2006 = 100);;Indeks hedoniczny ceny m kw. mieszkań (dynamika kwartał do analogicznego kwartału w roku poprzednim);;;;;;;;;;;;;;;;średnia;;;;;;;;
;Offer prices;;;;;;;;;;;;;;;;;mean;;;;;;Transaction prices;;;;;;;;;;;;;;;;;mean;;;;;;Hedonic price index (q-o-q);;;;;;;;;;;;;;;;mean;;;;Harmonized hedonic index (3 q. 2006 = 100);;Hedonic price index (y-o-y);;;;;;;;;;;;;;;;mean;;;;;;;;
;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;;;;;;;;;;;;;;;7 cities;10 cities;6 cities (without Warszawa);;;;;;
Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;Kwartał;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;Kwartał;Białystok;Bydgoszcz;Trójmiasto;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;Indeks;Kwartał;Białystok;Bydgoszcz;Trójmiasto;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy;9 miast;;;;;
III 2006;3 070;2 530;4 541;5 756;2 508;2 425;7 114;3 160;2 740;3 414;3 164;3 752;2 851;3 190;7 179;5 261;2 137;5 707;2 860;4 890;2 813;;III 2006;2 529;2 424;3 926;2 782;2 028;2 355;5 193;2 769;1 905;3 126;2 777;3 332;2 591;2 888;6 232;4 734;1 960;4 649;2 595;3 713;2 517;;III 2006;;;;;;;;;;;;;;;;;100,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV 2006;3 408;2 784;5 406;6 496;2 649;3 127;7 383;3 562;3 316;3 925;3 585;4 462;3 734;3 857;8 751;5 857;2 384;6 611;3 356;5 425;3 245;;IV 2006;2 998;2 359;4 072;4 561;2 160;2 673;6 349;2 884;2 160;3 665;2 885;3 903;2 935;3 133;7 143;4 932;2 381;5 380;2 905;4 412;2 734;;IV 2006;117,0;105,6;118,7;98,8;111,0;117,8;101,3;123,4;114,8;;115,6;112,4;104,1;121,9;103,3;107,7;118,4;101,8;116,4;108,1;118,4;;;;;;;;;;;;;;;;;;;;;;;;;;
I 2007;3 986;3 607;6 115;7 211;3 704;3 904;8 369;3 986;4 130;5 049;3 349;6 104;4 187;4 735;9 316;6 747;2 993;7 463;4 000;6 428;3 889;;I 2007;3 590;2 836;4 787;4 966;2 542;3 022;6 267;3 373;3 360;4 082;3 295;4 523;3 916;3 755;7 730;5 732;2 264;5 937;3 283;4 938;3 198;;I 2007;117,5;128,8;108,6;129,5;115,2;95,5;117,3;145,7;100,7;;106,9;115,1;125,8;109,7;107,6;98,2;112,0;114,7;113,3;118,1;132,6;;;;;;;;;;;;;;;;;;;;;;;;;;
II 2007;4 418;3 932;6 602;6 747;4 152;4 121;8 272;4 699;4 609;5 352;4 150;6 698;4 647;4 959;9 740;7 038;3 199;7 763;4 418;6 657;4 322;;II 2007;4 009;3 424;5 806;5 817;3 013;3 661;7 309;3 870;3 749;4 687;3 771;5 538;3 918;4 083;8 696;6 217;3 126;6 828;3 794;5 778;3 731;;II 2007;119,8;105,6;119,7;124,9;119,8;116,7;114,6;106,7;115,8;;134,3;109,7;105,4;109,5;108,7;121,8;114,1;108,5;116,7;114,9;151,3;;;;;;;;;;;;;;;;;;100,0;;;;;;;;
III 2007;4 580;4 150;6 740;7 188;4 151;4 231;8 255;4 815;4 721;5 394;4 136;6 387;4 814;5 094;10 078;7 194;3 565;7 878;4 532;6 666;4 442;;III 2007;4 635;3 913;6 059;6 483;3 870;3 670;7 193;4 265;3 981;4 716;3 958;5 805;4 073;4 321;9 137;6 862;3 483;6 921;4 121;5 762;4 073;;III 2007;105,6;114,5;100,4;111,0;112,9;97,0;108,8;109,4;102,2;108,2;103,3;107,9;111,2;106,1;112,3;112,0;104,8;109,8;104,1;109,9;158,7;;173,9;164,4;155,0;177,4;173,0;127,2;148,1;210,0;136,8;;171,5;152,9;153,4;155,5;135,7;144,3;158,5;153,1;160,2;160,5;;;;;
IV 2007;4 637;3 956;6 824;6 917;4 473;4 300;8 140;4 962;4 686;5 170;4 363;6 472;4 849;5 297;9 952;7 266;3 441;7 853;4 632;6 705;4 523;;IV 2007;4 637;3 758;6 267;6 069;3 612;3 876;6 715;4 713;4 039;4 938;3 967;5 948;4 424;4 647;9 034;5 965;3 270;6 965;4 247;5 878;4 150;;IV 2007;99,6;95,6;108,9;78,6;95,8;97,9;108,3;103,0;106,0;94,0;97,4;111,0;99,8;98,7;86,3;101,4;99,0;98,4;99,2;98,2;157,1;;148,1;148,8;142,2;141,2;149,2;105,8;158,4;175,3;126,3;;144,5;151,0;147,0;125,9;113,4;135,9;132,7;140,2;136,4;145,2;;;;;
I 2008;4 738;3 685;6 795;6 984;4 739;4 528;7 979;5 141;4 737;5 200;4 235;6 235;4 901;5 124;9 850;7 138;3 417;7 868;4 641;6 763;4 569;;I 2008;4 168;3 801;6 074;6 321;3 685;4 078;6 777;4 718;4 160;4 854;3 712;6 357;4 169;4 438;8 921;5 758;3 492;6 894;4 200;5 769;4 148;;I 2008;98,6;102,9;95,4;96,3;104,7;96,8;100,6;95,5;103,5;97,7;106,4;91,4;100,2;99,0;98,4;98,8;98,4;99,8;98,2;99,4;154,7;;124,3;118,8;125,0;105,0;135,7;107,2;135,9;114,9;129,9;;143,8;120,0;117,1;113,6;103,7;136,6;116,5;116,7;118,1;122,9;;;;;
II 2008;4 853;4 202;6 704;6 854;4 638;4 478;7 934;5 071;4 668;5 014;4 068;6 097;4 824;5 180;9 783;7 159;3 490;7 755;4 692;6 625;4 607;;II 2008;4 404;3 984;6 087;6 119;3 968;4 127;6 629;4 890;3 961;4 726;3 729;5 858;4 187;4 699;8 546;5 891;3 354;6 738;4 316;5 740;4 233;;II 2008;97,7;103,9;102,8;148,7;105,2;102,2;103,9;99,0;95,2;101,9;96,4;102,2;99,5;97,7;101,1;99,7;99,4;107,2;100,4;108,6;153,8;;101,3;116,9;107,2;124,9;119,1;93,9;123,2;106,6;106,8;101,2;103,2;111,8;110,7;101,3;96,4;111,9;101,4;114,1;101,4;114,9;;;;;
III 2008;4 777;4 151;6 608;6 960;4 555;4 574;7 180;5 111;4 544;4 964;4 187;5 980;4 790;5 174;9 679;6 922;3 506;7 538;4 678;6 344;4 597;;III 2008;4 604;3 957;5 952;5 816;3 622;4 122;6 294;4 885;3 780;4 560;3 797;6 143;4 366;4 794;8 528;6 105;3 180;6 649;4 300;5 593;4 210;;III 2008;102,8;98,0;92,7;88,6;95,7;91,0;100,3;98,0;95,3;99,5;99,5;100,9;103,5;102,1;99,2;95,1;98,0;98,3;95,7;97,5;150,8;;98,6;100,1;99,0;99,8;101,0;88,1;113,5;95,4;99,5;93,1;99,4;104,6;103,0;97,5;85,3;95,0;94,8;102,0;93,3;101,8;;;;;
IV 2008;4 744;4 240;6 793;7 059;4 360;4 356;7 251;5 091;4 873;4 947;4 143;5 954;4 640;5 079;10 196;6 859;3 488;7 755;4 618;6 400;4 542;;IV 2008;4 601;3 917;6 048;6 208;3 952;3 996;6 530;4 859;4 020;4 570;3 700;5 430;4 217;4 651;9 046;5 867;3 143;6 890;4 250;5 689;4 210;;IV 2008;99,9;98,9;101,0;107,3;100,4;105,6;97,1;105,8;102,3;101,5;94,1;99,5;95,1;99,1;99,0;98,2;100,8;99,7;101,7;100,6;151,9;;99,0;103,6;91,8;136,2;105,9;95,1;101,7;98,0;96,0;100,5;96,0;93,8;98,1;97,8;97,8;91,9;96,5;104,3;95,7;105,3;;;;;
